"Date","RegionID","RegionName","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-09-30,102001,"United States",0,231000,0.00303951367781155,0.010498687664042,0.0480943738656987,0.0632431947355547,0.0348485921823964,"2019-09","2019-Q3",231000,0,"2019-09"
2019-09-30,9,"California",1,550800,0.00218340611353712,0.00218340611353712,0.00953079178885631,0.0593264342844093,0.0517370388609029,"2019-03","2019-Q1",551400,-0.00108813928182807,"2019-03"
2019-09-30,54,"Texas",2,199900,0.00654582074521652,0.0136916835699797,0.056553911205074,0.0761494898487827,0.0434069391354324,"2019-09","2019-Q3",199900,0,"2019-09"
2019-09-30,43,"New York",3,305300,0.00164041994750656,0.00825627476882431,0.0753786544557943,0.0467045357810267,0.0170154398236526,"2019-09","2019-Q3",305300,0,"2019-09"
2019-09-30,14,"Florida",4,237900,0.00337410375369043,0.0119098256061251,0.0443371378402107,0.0893226373260256,0.050685413263923,"2006-08","2006-Q3",258900,-0.0811123986095017,"2005-12"
2019-09-30,21,"Illinois",5,183500,0.00218459858001092,0.00547945205479452,0.0390713476783692,0.0436564776600379,0.0107448595954676,"2007-04","2007-Q2",203900,-0.100049043648847,"2005-04"
2019-09-30,47,"Pennsylvania",6,176500,0.00284090909090909,0.0120412844036697,0.0351906158357771,0.0413965768477136,0.0164693967360672,"2019-09","2019-Q3",176500,0,"2019-09"
2019-09-30,44,"Ohio",7,142600,0.00564174894217207,0.0178443968593862,0.0531757754800591,0.0548224816528047,0.02583077726132,"2019-09","2019-Q3",142600,0,"2019-09"
2019-09-30,30,"Michigan",8,154500,0.00259571706683971,0.0104643557880968,0.0546075085324232,0.0803086088318434,0.0507218366759501,"2019-09","2019-Q3",154500,0,"2019-09"
2019-09-30,16,"Georgia",9,193500,0.0062402496099844,0.01788532351394,0.079196876742889,0.078518226908137,0.0342303843463438,"2019-09","2019-Q3",193500,0,"2019-09"
2019-09-30,36,"North Carolina",10,189900,0.00582627118644068,0.0165952890792291,0.0722755505364201,0.0616575729603308,0.0271312320536083,"2019-09","2019-Q3",189900,0,"2019-09"
2019-09-30,40,"New Jersey",11,329000,0.0015220700152207,0.00213219616204691,0.0239651416122004,0.0394731506191546,0.0088674100819055,"2006-08","2006-Q3",375900,-0.124767225325885,"2005-04"
2019-09-30,56,"Virginia",12,264200,0.00418091980235652,0.0145929339477727,0.0430319778918279,0.0354186130949607,0.0184302185093814,"2007-04","2007-Q2",265600,-0.0052710843373494,"2006-04"
2019-09-30,59,"Washington",13,393800,0.00484817555498852,0.0136422136422136,0.0506937033084312,0.0908049655729037,0.0444570546650174,"2019-09","2019-Q3",393800,0,"2019-09"
2019-09-30,26,"Massachusetts",14,408100,0.00049031625398382,0.00147239263803681,0.0174520069808028,0.0522187198452344,0.0344328108769296,"2019-03","2019-Q1",410200,-0.00511945392491468,"2019-02"
2019-09-30,22,"Indiana",15,148700,0.00677048070412999,0.0212912087912088,0.0798838053740015,0.0688352117114506,0.031545638277348,"2019-09","2019-Q3",148700,0,"2019-09"
2019-09-30,8,"Arizona",16,257600,0.0046801872074883,0.0137741046831956,0.0518579011841568,0.0730142304559993,0.0484484505130311,"2006-06","2006-Q2",269400,-0.0438010393466964,"2005-12"
2019-09-30,53,"Tennessee",17,170800,0.00293599530240752,0.0130486358244365,0.0562770562770563,0.0724382020524001,0.0375852680470947,"2019-09","2019-Q3",170800,0,"2019-09"
2019-09-30,32,"Missouri",18,163700,0.00552825552825553,0.0117428924598269,0.0486867392696989,0.053578060941049,0.0225339549081567,"2019-09","2019-Q3",163700,0,"2019-09"
2019-09-30,27,"Maryland",19,290500,0.00241545893719807,0.00310773480662983,0.0150244584206848,0.0335615509883265,0.0136772244104784,"2006-12","2006-Q4",334800,-0.13231780167264,"2005-06"
2019-09-30,60,"Wisconsin",20,191600,0.00419287211740042,0.0153683094859565,0.0556473829201102,0.0522860431158343,0.0243704768833408,"2019-09","2019-Q3",191600,0,"2019-09"
2019-09-30,31,"Minnesota",21,239900,0.00167014613778706,0.00460636515912898,0.048513986013986,0.0643908862284723,0.0366388466966756,"2019-09","2019-Q3",239900,0,"2019-09"
2019-09-30,10,"Colorado",22,381300,0.00210249671484888,0.00368518031060805,0.0352973119739343,0.0868767694503127,0.0584277161719136,"2019-03","2019-Q1",381800,-0.00130958617077004,"2019-03"
2019-09-30,4,"Alabama",23,134300,0.00298730395817774,0.0151171579743008,0.0467653936087295,0.0386575701015679,0.0256027352460055,"2019-09","2019-Q3",134300,0,"2019-09"
2019-09-30,51,"South Carolina",24,170700,0.00411764705882353,0.0142602495543672,0.0563118811881188,0.0619334219062617,0.0260439383369184,"2019-09","2019-Q3",170700,0,"2019-09"
2019-09-30,25,"Louisiana",25,147600,0.00203665987780041,0.00819672131147541,0.00819672131147541,0.0347923166825255,0.0161096400712464,"2019-09","2019-Q3",147600,0,"2019-09"
2019-09-30,24,"Kentucky",26,148400,0.005420054200542,0.0157426420260096,0.0502476999292286,0.0534200382712564,0.0276270929782321,"2019-09","2019-Q3",148400,0,"2019-09"
2019-09-30,46,"Oregon",27,350600,0.00343445907269605,0.00921128382268279,0.0366646954464814,0.0845027057264078,0.0461460482396321,"2019-09","2019-Q3",350600,0,"2019-09"
2019-09-30,45,"Oklahoma",28,125400,0.0032,0.00884955752212389,0.0389395194697597,0.0557666248111686,0.0269691907454206,"2019-09","2019-Q3",125400,0,"2019-09"
2019-09-30,11,"Connecticut",29,244800,0.00122699386503067,0.00410172272354389,0.0124069478908189,0.0212215355854419,0.00102701930508431,"2006-06","2006-Q2",290100,-0.156153050672182,"2004-06"
2019-09-30,19,"Iowa",30,146500,0.00342465753424658,0.0145429362880886,0.0441910192444761,0.0428077180296473,0.0280455477293442,"2019-09","2019-Q3",146500,0,"2019-09"
2019-09-30,34,"Mississippi",31,130200,0.00618238021638331,0.0195771339075959,0.054251012145749,0.058466169428373,0.0185872900988977,"2019-09","2019-Q3",130200,0,"2019-09"
2019-09-30,6,"Arkansas",32,129500,0.00465477114041893,0.0164835164835165,0.0562805872756933,0.0518028845882628,0.0278446199579367,"2019-09","2019-Q3",129500,0,"2019-09"
2019-09-30,23,"Kansas",33,141500,0.00283486888731396,0.00783475783475784,0.0320933625091174,0.0463800912606376,0.0206873051773158,"2019-09","2019-Q3",141500,0,"2019-09"
2019-09-30,55,"Utah",34,351100,0.0141536683997689,0.024810274372446,0.0910503418272219,0.0925890826498648,0.0466707349682187,"2019-09","2019-Q3",351100,0,"2019-09"
2019-09-30,42,"Nevada",35,291800,-0.00136892539356605,-0.00579216354344123,0.0267417311752287,0.0914425425307808,0.0625975648977737,"2006-06","2006-Q2",319200,-0.0858395989974937,"2005-03"
2019-09-30,41,"New Mexico",36,197400,0.00203045685279188,0.0102354145342886,0.0367647058823529,0.0482008559227762,0.011886393024175,"2019-09","2019-Q3",197400,0,"2019-09"
2019-09-30,61,"West Virginia",37,99000,0.00405679513184584,0.014344262295082,0.0280373831775701,0.0338992854913944,0.0207749768787555,"2019-09","2019-Q3",99000,0,"2019-09"
2019-09-30,38,"Nebraska",38,169900,0.00532544378698225,0.0179748352306771,0.0605493133583021,0.0614405098785908,0.0369494610903212,"2019-09","2019-Q3",169900,0,"2019-09"
2019-09-30,20,"Idaho",39,274200,0.00883002207505519,0.0219903093551994,0.130255564715581,0.100850440424895,0.0501467041747006,"2019-09","2019-Q3",274200,0,"2019-09"
2019-09-30,18,"Hawaii",40,619000,0.0014560750687591,0.00210458151206087,0.00113213650331554,0.0472517611350971,0.0383419297150889,"2019-03","2019-Q1",623400,-0.00705806865575874,"2018-11"
2019-09-30,28,"Maine",41,237800,0.00379907133811735,0.0158052114480991,0.0452747252747253,0.0535551544244925,0.0334055960662527,"2019-09","2019-Q3",237800,0,"2019-09"
2019-09-30,39,"New Hampshire",42,280400,0.00178635226866738,0.00573888091822095,0.0377498149518875,0.0555355073232453,0.0276810760862778,"2019-09","2019-Q3",280400,0,"2019-09"
2019-09-30,50,"Rhode Island",43,284200,0.000704225352112676,0.00388555280819498,0.0285921100253348,0.0535035217586144,0.023951720353663,"2005-10","2005-Q4",297000,-0.0430976430976431,"2005-01"
2019-09-30,35,"Montana",44,242100,0.00832986255726781,0.0267175572519084,0.0609114811568799,0.0474630506853091,0.0292285294061436,"2019-09","2019-Q3",242100,0,"2019-09"
2019-09-30,13,"Delaware",45,236300,-0.00168990283058724,-0.00630782169890664,0.00510421097405359,0.0364189767302812,0.00883617425291683,"2018-01","2018-Q1",241300,-0.0207210940737671,"2017-12"
2019-09-30,52,"South Dakota",46,194700,0.00360824742268041,0.0151199165797706,0.0656814449917898,0.0539714096589679,0.0331632808494013,"2019-09","2019-Q3",194700,0,"2019-09"
2019-09-30,3,"Alaska",47,326000,0.0171606864274571,0.0332805071315372,0.0536522301228184,0.0241742046501559,0.0167521966275701,"2019-09","2019-Q3",326000,0,"2019-09"
2019-09-30,37,"North Dakota",48,210000,0.00574712643678161,0.0149830836152731,0.0309278350515464,0.0358383543491638,0.044864714287278,"2019-09","2019-Q3",210000,0,"2019-09"
2019-09-30,58,"Vermont",49,210600,0.0062111801242236,0.0273170731707317,0.0561685055165496,0.0287182276773634,0.0161635036596599,"2019-09","2019-Q3",210600,0,"2019-09"
2019-09-30,12,"District of Columbia",50,567800,0.003003003003003,0.0037122149549231,-0.00872905027932961,0.0486299555937952,0.0486480825100839,"2019-02","2019-Q1",582800,-0.0257378174330817,"2018-07"
2019-09-30,62,"Wyoming",51,236100,0.0141752577319588,0.0419240953221536,0.0688094160253508,0.0415687487954364,0.0267054572517622,"2019-09","2019-Q3",236100,0,"2019-09"
